,Rank,Country/Territory,GDP(US$million)
0,,,
1,,World[19],"87,265,226"
2,1,United States,"21,439,453"
3,—,European Union[23][n 1],"18,705,132"
4,2,China[n 2],"14,140,163"
5,3,Japan,"5,154,475"
6,4,Germany,"3,863,344"
7,5,India,"2,935,570"
8,6,United Kingdom,"2,743,586"
9,7,France,"2,707,074"
10,8,Italy,"1,988,636"
11,9,Brazil,"1,847,020"
12,10,Canada,"1,730,914"
13,11,Russia[n 3],"1,637,892"
14,12,"Korea, South","1,629,532"
15,13,Spain,"1,397,870"
16,14,Australia,"1,376,255"
17,15,Mexico,"1,274,175"
18,16,Indonesia,"1,111,713"
19,17,Netherlands,"902,355"
20,18,Saudi Arabia,"779,289"
21,19,Turkey,"743,708"
22,20,Switzerland,"715,360"
23,—,Taiwan,"586,104"
24,21,Poland,"565,854"
25,22,Thailand,"529,177"
26,23,Sweden,"528,929"
27,24,Belgium,"517,609"
28,25,Iran,"458,500"
29,26,Austria,"447,718"
30,27,Nigeria,"446,543"
31,28,Argentina,"445,469"
32,29,Norway,"417,627"
33,30,United Arab Emirates,"405,771"
34,31,Israel,"387,717"
35,32,Ireland,"384,940"
36,—,Hong Kong,"372,989"
37,33,Malaysia,"365,303"
38,34,Singapore,"362,818"
39,35,South Africa,"358,839"
40,36,Philippines,"356,814"
41,37,Denmark,"347,176"
42,38,Colombia,"327,895"
43,39,Bangladesh,"317,465"
44,40,Egypt,"302,256"
45,41,Chile,"294,237"
46,42,Pakistan,"284,214"
47,43,Finland,"269,654"
48,44,Vietnam,"261,637"
49,45,Czech Republic,"246,953"
50,46,Romania,"243,698"
51,47,Portugal,"236,408"
52,48,Peru,"228,989"
53,49,Iraq,"224,462"
54,50,Greece,"214,012"
55,51,New Zealand,"204,671"
56,52,Qatar,"191,849"
57,53,Algeria,"172,781"
58,54,Hungary,"170,407"
59,55,Kazakhstan,"170,326"
60,56,Ukraine,"150,401"
61,57,Kuwait,"137,591"
62,58,Morocco,"119,040"
63,59,Ecuador,"107,914"
64,60,Slovakia,"106,552"
65,—,Puerto Rico,"99,913"
66,61,Kenya,"98,607"
67,62,Angola,"91,527"
68,63,Ethiopia,"91,166"
69,64,Dominican Republic,"89,475"
70,65,Sri Lanka,"86,566"
71,66,Guatemala,"81,318"
72,67,Oman,"76,609"
73,68,Venezuela,"70,140"
74,69,Luxembourg,"69,453"
75,70,Panama,"68,536"
76,71,Ghana,"67,077"
77,72,Bulgaria,"66,250"
78,73,Myanmar,"65,994"
79,74,Tanzania,"62,224"
80,75,Belarus,"62,572"
81,76,Costa Rica,"61,021"
82,77,Croatia,"60,702"
83,78,Uzbekistan,"60,490"
84,79,Syria[n 4],"60,043/Na"
85,80,Uruguay,"59,918"
86,81,Lebanon,"58,565"
87,—,Macau,"55,136"
88,82,Slovenia,"54,154"
89,83,Lithuania,"53,641"
90,84,Serbia,"51,523"
91,85,"Congo, Democratic Republic of the","48,994"
92,86,Azerbaijan,"47,171"
93,87,Turkmenistan,"46,674"
94,88,Côte d'Ivoire,"44,439"
95,89,Jordan,"44,172"
96,90,Bolivia,"42,401"
97,91,Paraguay,"40,714"
98,92,Tunisia,"38,732"
99,93,Cameroon,"38,632"
100,94,Bahrain,"38,184"
101,95,Latvia,"35,045"
102,96,Libya,"33,018"
103,97,Estonia,"31,038"
104,98,Sudan,"30,873"
105,99,Uganda,"30,666"
106,100,Yemen,"29,855"
107,101,Nepal,"29,813"
108,102,El Salvador,"26,871"
109,103,Cambodia,"26,730"
110,104,Honduras,"24,449"
111,105,Cyprus,"24,280"
112,106,Zambia,"23,946"
113,107,Senegal,"23,940"
114,108,Iceland,"23,918"
115,109,Papua New Guinea,"23,587"
116,110,Trinidad and Tobago,"22,607"
117,111,Bosnia and Herzegovina,"20,106"
118,112,Laos,"19,127"
119,113,Afghanistan,"18,734"
120,114,Botswana,"18,690"
121,115,Mali,"17,647"
122,117,Gabon,"16,877"
123,116,Georgia,"15,925"
124,118,Jamaica,"15,702"
125,119,Albania,"15,418"
126,120,Mozambique,"15,093"
127,121,Malta,"14,859"
128,122,Burkina Faso,"14,593"
129,123,Mauritius,"14,391"
130,124,Benin,"14,374"
131,125,Namibia,"14,368"
132,126,Mongolia,"13,637"
133,127,Armenia,"13,444"
134,128,Guinea,"13,368"
135,129,Zimbabwe,"12,818"
136,130,North Macedonia,"12,672"
137,131,"Bahamas, The","12,664"
138,132,Madagascar,"12,550"
139,133,Nicaragua,"12,528"
140,134,Brunei,"12,455"
141,135,Equatorial Guinea,"12,142"
142,136,Moldova,"11,688"
143,137,"Congo, Republic of the","11,576"
144,138,Chad,"11,026"
145,139,Rwanda,"10,209"
146,140,Niger,"9,443"
147,141,Haiti,"8,819"
148,142,Kyrgyzstan,"8,261"
149,143,Tajikistan,"8,152"
150,—,Kosovo,"7,996"
151,144,Malawi,"7,522"
152,145,Maldives,"5,786"
153,146,Togo,"5,502"
154,147,Mauritania,"5,651"
155,148,Montenegro,"5,424"
156,149,Fiji,"5,708"
157,150,Barbados,"5,189"
158,151,Somalia,"4,958"
159,152,Eswatini,"4,657"
160,153,Sierra Leone,"4,229"
161,154,Guyana,"4,121"
162,155,Suriname,"3,774"
163,156,South Sudan,"3,681"
164,157,Burundi,"3,573"
165,158,Liberia,"3,221"
166,159,Djibouti,"3,166"
167,160,Timor-Leste,"2,938"
168,—,Aruba,"2,903"
169,161,Bhutan,"2,842"
170,162,Lesotho,"2,741"
171,163,Central African Republic,"2,321"
172,164,Eritrea,"2,110"
173,165,Belize,"2,001"
174,166,St. Lucia,"1,992"
175,167,Gambia,"1,773"
176,168,Antigua and Barbuda,"1,688"
177,169,Seychelles,"1,644"
178,170,San Marino,"1,591"
179,171,Solomon Islands,"1,440"
180,172,Grenada,"1,238"
181,173,Comoros,"1,179"
182,174,St. Kitts and Nevis,"1,032"
183,175,Vanuatu,951
184,176,Samoa,905
185,177,St. Vincent and the Grenadines,856
186,178,Dominica,593
187,179,Tonga,488
188,180,São Tomé and Príncipe,430
189,181,"Micronesia, Federated States of",381
190,182,Palau,291
191,183,Marshall Islands,220
192,184,Kiribati,184
193,185,Nauru,108
194,186,Tuvalu,42
