,Rank,Country/Territory,GDP(US$million)
0,,,
1,,World,"85,804,391"
2,1,United States,"20,494,100"
3,2,People's Republic of China[n 5],"13,608,152"
4,3,Japan,"4,970,916"
5,4,Germany,"3,996,759"
6,5,United Kingdom,"2,825,208"
7,6,France,"2,777,535"
8,7,India,"2,726,323"
9,8,Italy,"2,073,902"
10,9,Brazil,"1,868,626"
11,10,Canada,"1,712,510"
12,11,Russia[n 3],"1,657,554"
13,12,"Korea, South","1,619,424"
14,13,Australia,"1,432,195"
15,14,Spain,"1,426,189"
16,15,Mexico,"1,223,809"
17,16,Indonesia,"1,042,173"
18,17,Netherlands,"913,658"
19,18,Saudi Arabia,"782,483"
20,19,Turkey,"766,509"
21,20,Switzerland,"705,501"
22,21,Poland,"585,783"
23,—,Taiwan,"574,905 (2017)"
24,22,Sweden,"551,032"
25,23,Belgium,"531,767"
26,24,Argentina,"518,475"
27,25,Thailand,"504,993"
28,26,Austria,"455,737"
29,27,Iran,"454,013 (2017)"
30,28,Norway,"434,751"
31,29,United Arab Emirates,"414,179"
32,30,Nigeria,"397,270"
33,31,Ireland,"382,487"
34,32,Israel,"369,690"
35,33,South Africa,"368,288"
36,34,Singapore,"364,157"
37,—,Hong Kong,"362,993"
38,35,Malaysia,"354,348"
39,36,Denmark,"352,058"
40,37,Philippines,"330,910"
41,38,Colombia,"330,228"
42,39,Pakistan,"312,570"
43,40,Chile,"298,231"
44,41,Bangladesh,"274,025"
45,42,Finland,"273,961"
46,43,Egypt,"250,895"
47,44,Czech Republic,"245,226"
48,45,Vietnam,"244,948"
49,46,Romania,"239,553"
50,47,Portugal,"237,979"
51,48,Iraq,"225,914"
52,49,Peru,"222,238"
53,50,Greece,"218,032"
54,51,New Zealand,"205,025"
55,52,Qatar,"192,009"
56,53,Algeria,"180,689"
57,54,Kazakhstan,"170,539"
58,55,Hungary,"155,703"
59,56,Kuwait,"141,678"
60,57,Ukraine,"130,832"
61,58,Morocco[n 6],"118,495"
62,59,Ecuador,"108,398"
63,60,Slovak Republic,"106,472"
64,61,Angola,"105,751"
65,–,Puerto Rico,"101,131"
66,62,Cuba,"100,023"
67,63,Sri Lanka,"88,901"
68,64,Kenya,"87,908"
69,65,Ethiopia,"84,355"
70,66,Dominican Republic,"81,299"
71,67,Oman,"79,295"
72,68,Guatemala,"78,460"
73,69,Myanmar,"71,215"
74,70,Luxembourg,"69,488"
75,71,Ghana,"65,556"
76,72,Bulgaria,"65,133"
77,73,Panama,"65,055"
78,74,Croatia,"60,806"
79,75,Costa Rica,"60,126"
80,76,Belarus,"59,663"
81,77,Uruguay,"59,597"
82,78,Tanzania[n 7],"57,437"
83,79,Lebanon,"56,639"
84,—,Macau,"54,545"
85,80,Slovenia,"54,235"
86,81,Lithuania,"53,251"
87,82,Serbia,"50,508"
88,83,Uzbekistan,"50,500"
89,84,Libya,"48,320"
90,85,"Congo, Democratic Republic of the","47,228"
91,86,Azerbaijan,"46,940"
92,87,Cote d'Ivoire,"43,007"
93,88,Jordan,"42,291"
94,89,Sudan,"40,852"
95,90,Paraguay,"40,842"
96,91,Turkmenistan,"40,761"
97,92,Bolivia,"40,288"
98,93,Tunisia,"39,861"
99,94,Cameroon,"38,502"
100,95,Bahrain,"37,746"
101,96,Latvia,"34,849"
102,97,Zimbabwe,"31,001"
103,98,Estonia,"30,285"
104,99,Nepal,"28,812"
105,100,Uganda,"27,477"
106,101,Zambia,"26,720"
107,102,El Salvador,"26,057"
108,103,Iceland,"25,882"
109,104,Cambodia,"24,572"
110,105,Cyprus[n 8],"24,470"
111,106,Senegal,"24,130"
112,107,Honduras,"23,803"
113,108,Papua New Guinea,"23,432"
114,109,Trinidad and Tobago,"23,410"
115,110,Bosnia and Herzegovina,"19,782"
116,111,Afghanistan,"19,363"
117,112,Botswana,"18,616"
118,113,Laos,"18,131"
119,114,Mali,"17,197"
120,115,Gabon,"17,017"
121,116,Georgia[n 9],"16,210"
122,117,Jamaica,"15,718"
123,118,Albania,"15,059"
124,—,West Bank and Gaza,"14,616"
125,119,Malta,"14,542"
126,120,Namibia,"14,522"
127,121,Mozambique,"14,458"
128,122,Burkina Faso,"14,442"
129,123,Mauritius,"14,220"
130,124,Brunei,"13,567"
131,125,Equatorial Guinea,"13,317"
132,126,Nicaragua,"13,118"
133,127,Mongolia,"13,010"
134,128,North Macedonia,"12,672"
135,129,Armenia,"12,433"
136,130,"Bahamas, The","12,162 (2017)"
137,131,Madagascar,"12,100"
138,132,Moldova[n 10],"11,309"
139,133,Chad,"11,303"
140,134,"Congo, Republic of the","11,264"
141,135,Guinea,"10,990"
142,136,Benin,"10,359"
143,137,Haiti,"9,658"
144,138,Rwanda,"9,509"
145,139,Niger,"9,240"
146,140,Kyrgyzstan,"8,093"
147,—,Kosovo,"7,900"
148,141,Tajikistan,"7,523"
149,142,Malawi,"7,065"
150,143,Fiji,"5,480"
151,144,Montenegro,"5,452"
152,145,Mauritania,"5,366"
153,146,Togo,"5,300"
154,147,Maldives,"5,272"
155,148,Somalia,"4,721"
156,149,Eswatini,"4,704"
157,150,Barbados,"4,674 (2017)"
158,151,Sierra Leone,"4,000"
159,152,Guyana,"3,610"
160,153,Suriname,"3,427"
161,154,Liberia,"3,249"
162,155,Andorra,"3,237"
163,156,Burundi,"3,078"
164,157,Lesotho,"2,792"
165,158,Timor-Leste,"2,581"
166,159,Bhutan,"2,535"
167,160,Central African Republic,"2,380"
168,161,Cabo Verde,"1,987"
169,162,Djibouti,"1,966"
170,163,Belize,"1,925"
171,164,Saint Lucia,"1,876"
172,165,San Marino,"1,633 (2017)"
173,166,"Gambia, The","1,624"
174,167,Antigua and Barbuda,"1,624"
175,168,Seychelles,"1,590"
176,169,Guinea-Bissau,"1,458"
177,170,Solomon Islands,"1,412"
178,171,Grenada,"1,207"
179,172,Comoros,"1,203"
180,173,Saint Kitts and Nevis,"1,049"
181,174,Vanuatu,888
182,175,Samoa,861
183,176,Saint Vincent and the Grenadines,813
184,177,Dominica,504
185,178,Tonga,450
186,179,Sao Tome and Principe,422
187,180,"Micronesia, Federated States of",345
188,181,Palau,310
189,182,Marshall Islands,212
190,183,Kiribati,188
191,184,Nauru,115
192,185,Tuvalu,43
